User_ID,Name,Role,Department,Location,Device
U001,Michael Moss,Admin,IT,Office,Personal
U002,Karen Jimenez,Admin,Finance,Remote,Personal
U003,Daniel Carter,Admin,Marketing,Office,Corporate
U004,Robert James,Admin,Finance,Remote,Personal
U005,Angela Thompson,Owner,IT,Remote,Personal
U006,Richard Ramirez,Restorer,Sales,Remote,Personal
U007,Brandi Vazquez,Viewer,IT,Office,Personal
U008,Danielle Gutierrez,Owner,Finance,Office,Personal
U009,Jack Weber,Admin,IT,Remote,Personal
U010,Shelia Kramer,Owner,IT,Remote,Corporate
U011,Nicholas Rice,Admin,IT,Office,Corporate
U012,Samuel Brown,Restorer,IT,Remote,Corporate
U013,Anthony Hamilton,Owner,Marketing,Remote,Corporate
U014,Carrie Salinas,Admin,IT,Office,Personal
U015,Gregory Garcia,Restorer,Finance,Office,Corporate
U016,Kathryn Kent,Restorer,IT,Office,Corporate
U017,Jackie Booker,Restorer,Finance,Remote,Corporate
U018,Michelle Davis,Viewer,IT,Office,Corporate
U019,Ronald Morris,Viewer,Finance,Office,Personal
U020,Mark Booker,Owner,Marketing,Remote,Corporate
U021,Allison Gomez,Owner,HR,Remote,Corporate
U022,Andrew Howe,Admin,HR,Remote,Corporate
U023,David Harris,Restorer,Marketing,Remote,Personal
U024,Roberto Hernandez,Owner,Marketing,Office,Personal
U025,Mary Wright,Owner,Marketing,Remote,Personal
U026,Jocelyn Hall,Owner,HR,Office,Corporate
U027,Robert Lopez,Admin,Sales,Office,Corporate
U028,Heather Perry,Admin,IT,Office,Personal
U029,Vincent Webb,Restorer,Marketing,Office,Corporate
U030,Richard Wells,Viewer,Marketing,Remote,Personal
U031,Charles Jackson,Owner,IT,Office,Personal
U032,Mike Dorsey,Viewer,IT,Office,Corporate
U033,Rebecca Mitchell,Viewer,IT,Remote,Corporate
U034,Sarah Rojas,Admin,Finance,Office,Personal
U035,Jennifer Jensen,Owner,Marketing,Office,Corporate
U036,Brian Wiggins,Admin,IT,Office,Personal
U037,Rebecca Collins,Restorer,IT,Remote,Personal
U038,Angela Cummings,Viewer,HR,Remote,Personal
U039,Katherine Richard,Admin,Marketing,Remote,Corporate
U040,Jesse Lynn,Viewer,HR,Office,Personal
U041,Mark Fitzpatrick,Restorer,Marketing,Remote,Personal
U042,Carl White,Viewer,IT,Office,Personal
U043,Megan Stein,Admin,HR,Office,Corporate
U044,Ralph Gregory,Admin,Finance,Office,Personal
U045,Katherine Adams,Admin,HR,Remote,Personal
U046,Laurie Escobar,Viewer,IT,Remote,Personal
U047,Kathleen Galvan,Viewer,Finance,Remote,Personal
U048,Dale Dodson,Admin,Finance,Office,Corporate
U049,Christopher Johnson,Viewer,Marketing,Office,Corporate
U050,Michael Cooper,Admin,Marketing,Office,Personal
U051,Trevor Gonzalez,Viewer,HR,Office,Corporate
U052,Nicole Rojas,Viewer,Finance,Office,Corporate
U053,James Contreras,Admin,Marketing,Remote,Personal
U054,Martha Roberts,Owner,Sales,Remote,Personal
U055,Pamela Kim,Viewer,Marketing,Remote,Corporate
U056,Susan Howell,Admin,Finance,Office,Personal
U057,Emily Crawford,Owner,Marketing,Office,Corporate
U058,Sharon Baker,Restorer,Finance,Office,Corporate
U059,Jose Huynh,Admin,Finance,Office,Personal
U060,Lauren Anderson,Restorer,IT,Remote,Corporate
U061,Juan Gray,Owner,Marketing,Office,Corporate
U062,Cathy Wallace,Restorer,Finance,Office,Corporate
U063,Christopher Carpenter,Owner,HR,Office,Corporate
U064,Elizabeth Acosta,Viewer,HR,Office,Personal
U065,Justin Castro,Viewer,Sales,Office,Corporate
U066,Brittany Cuevas,Viewer,Finance,Remote,Personal
U067,Colleen Oconnor,Owner,Sales,Remote,Corporate
U068,Allison Foster,Owner,Sales,Remote,Personal
U069,Tyler Turner,Viewer,Finance,Remote,Personal
U070,James Garrett,Restorer,Marketing,Remote,Corporate
U071,Sean Christensen,Admin,Finance,Remote,Personal
U072,Jake Lucas,Admin,Finance,Office,Personal
U073,Nicole Mueller,Viewer,Finance,Remote,Corporate
U074,Mark Mitchell,Viewer,Marketing,Office,Personal
U075,Todd Ward,Viewer,HR,Office,Personal
U076,Gary Cruz,Owner,Sales,Office,Personal
U077,Amanda May,Admin,Sales,Office,Personal
U078,Joshua Buckley,Viewer,IT,Remote,Personal
U079,Aaron Sanders Jr.,Viewer,Sales,Office,Personal
U080,Michael Humphrey,Restorer,Sales,Office,Personal
U081,James Nelson,Admin,IT,Office,Corporate
U082,Kirsten Williams,Viewer,Sales,Office,Corporate
U083,Dana Mosley,Restorer,Finance,Remote,Corporate
U084,David Jones,Owner,Finance,Office,Personal
U085,Carlos Bowman,Restorer,HR,Office,Personal
U086,Charles Young,Restorer,IT,Remote,Corporate
U087,Amy Scott,Restorer,Sales,Office,Personal
U088,Robert Oliver,Viewer,IT,Remote,Personal
U089,Jay Anderson,Admin,Finance,Remote,Personal
U090,Misty Lewis,Admin,IT,Remote,Corporate
U091,Robert Martinez,Viewer,HR,Office,Corporate
U092,Michelle Welch,Restorer,Marketing,Office,Corporate
U093,Michael Moreno,Admin,Marketing,Office,Personal
U094,Drew Moore,Restorer,Marketing,Office,Personal
U095,Paul Jones,Admin,Finance,Office,Personal
U096,Robert Munoz,Restorer,HR,Office,Corporate
U097,John Cain,Admin,Marketing,Remote,Corporate
U098,Lisa Mullins,Owner,IT,Remote,Personal
U099,Jeffrey Brown,Admin,Sales,Office,Corporate
U100,Kimberly Long,Admin,IT,Office,Corporate
